Project Number,Project Title,Financial Year,Contractor Name,Estimated Cost,Department,Approval/Contract Number,Amount Paid,Project Scope
006/131/241/17-18,Mwalachi- Maghamba Water Project Phase 2,2017-2018,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,1615923,Mwalachi- Maghamba water project phase 2
006/131/242/17-18,Irido A Water Project Piping,2017-2018,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,0,
006/131/243/17-18,Kwa Hebron -Mwalachi - Tira - Mswadi Water Project,2017-2018,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,1160210,
006/131/244/17-18,Shigharo - Mwachora Water Tank,2017-2018,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,0,
006/131/245/17-18,Ngelenyi Water Supply And Pump,2017-2018,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,4388020.5,
006/131/246/17-18,Loghia Water Project,2017-2018,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,0,
006/131/247/17-18,Iriwa Water Distribution,2017-2018,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,0,
006/131/248/17-18,Construction Of Nguraru Ecd Classroom,2017-2018,n/a,0,"Education, Libraries and VTCs",,0,
006/131/249/17-18,Construction Of Choke Ecd ,2017-2018,n/a,0,"Education, Libraries and VTCs",,0,
006/131/25/23-24,Supplies For Mwanda Mgange Madamia Processingand Milk Plants,2023-2024,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,"Supply of sorting equipment, rosters "
006/131/250/17-18,Construction Of Mwailengo Ecd Toilet,2017-2018,n/a,0,"Education, Libraries and VTCs",,0,
006/131/251/17-18,Construction Of Mbauro Ecde 4 Door Toilet- Labour Based,2017-2018,n/a,0,"Education, Libraries and VTCs",,0,
006/131/252/17-18,Furnishing Of All Ecdes Wundanyi Mbale Ward,2017-2018,n/a,0,"Education, Libraries and VTCs",,0,
006/131/253/17-18,Construction Of Mlechi Ecd,2017-2018,n/a,0,"Education, Libraries and VTCs",,0,
006/131/254/17-18,Construction Of Wesu Ecd & Toilet,2017-2018,n/a,0,"Education, Libraries and VTCs",,0,
006/131/255/17-18,3 Ecd Nguraru,2017-2018,n/a,0,"Education, Libraries and VTCs",,0,
006/131/256/17-18,Completion Of Shigharo Dispensary,2017-2018,n/a,0,Health Services,,0,
006/131/257/17-18,Women Empowerment Support Programme,2017-2018,n/a,0,"Youth, Sports, Gender and Social Services",,0,
006/131/258/17-18,Sports Equipment And Attire For Youth,2017-2018,n/a,0,"Youth, Sports, Gender and Social Services",,0,
006/131/259/17-18,Construction Of Wundanyi Market ( 3 Storey),2017-2018,n/a,0,"Trade, Tourism, Culture and Industrialization",,0,
006/131/26/23-24,Completion Of Mwanda Hc Maternity Wing ,2023-2024,n/a,0,Health Services,,0,"Flooring, painting, ceilings, plumbing works, supply of rain harvesting facilities"
006/131/260/17-18,Rehabilitation Of Midi Ya Waka - Mwalenyi-Kitukunyi Road,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/131/261/17-18,Installation Of Wundanyi Feeder Road Culverts,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/131/262/17-18,Mlechi Primary School Road,2017-2018,BUSHUTI GENERAL CONTRACTORS," 518,891.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 518,891.00 ",
006/131/263/17-18,Mwongonyi-Sirienyi Road,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/131/264/17-18,Maintainance Of Mwangeka Girls-Ng'Onda Pri School-Kitukunyi- Rmlf,2017-2018,n/a,0,"Education, Libraries and VTCs",,0,
006/131/265/17-18,Maintainance Of Ngilinyi- Lembenyi-Moka Road- Rmlf,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/131/266/17-18,Maintainance Of Mogho-Sunguchi-Moka  Road- Rmlf,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/131/267/17-18,Maintainance Of Choke Primary-Msangachi Road- Rmlf,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/131/268/17-18,Two Concrete Roofs Tops At Sh 80000 Each Lembenyi & Moka,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/131/269/17-18,"Construction Of Bodaboda Sheds - Wundanyi Mbale - Iriwa, Wanganga, Wundanyi Town (2), Wesu",2017-2018,n/a,0,"Youth, Sports, Gender and Social Services",,0,
006/131/27/23-24,Rehabilitation Of Mozo/Funju Water Project,2023-2024,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,0,"Construction of a samp, pump house, rehabilitation of Iworenyi tank, solarization, supply lines intallation and provision of community water points"
006/131/270/17-18,Construction Of Jua Kali Sheds For Disabled,2017-2018,n/a,0,"Youth, Sports, Gender and Social Services",,0,
006/131/271/17-18,Driving Course For Youth - Wundanyi Mbale Ward,2017-2018,Hills Way Driving School," 912,000.00 ","Youth, Sports, Gender and Social Services",," 912,000.00 ",
006/131/272/16-17,Slaughter House Mwanda,2016-2017,Mlawa Contractors," 500,000.00 ","Trade, Tourism, Culture and Industrialization",," 500,000.00 ",Slaughter house Mwanda
006/131/272/17-18,Rehabilitation Of Wundanyi Stadium,2017-2018,Mlawa Contractors," 1,907,000.00 ","Youth, Sports, Gender and Social Services",," 1,907,000.00 ",
006/131/273/16-17,Rehabilitation Of Mghange/Dawida Slaughter House,2016-2017,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,1400000,Rehabilitation of mghange/dawida slaughter house
006/131/273/17-18,Purchase Of Cultural And Traditional Attire-Njama Mizango - Wundanyi Mbale,2017-2018,n/a,0,"Youth, Sports, Gender and Social Services",,0,
006/131/274/16-17,Choke To Lushangonyi To Mchundi Water Project (Mwanda Mghange Ward),2016-2017,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,600000,Choke to lushangonyi to mchundi water project (Mwanda Mghange WARD)
006/131/274/17-18,Maintanance Of Mwade Kwamwacheda Road,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,2995949.91,Maintanance of mwade kwamwacheda road
006/131/275/16-17,Slaughter House Mwanda,2016-2017,n/a,0,"Trade, Tourism, Culture and Industrialization",,720000,Slaughter house Mwanda
006/131/277/16-17,Choke To Lushangonyi To Mchundi Water Project (Mwanda Mghange Ward),2016-2017,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,600000,Choke to lushangonyi to mchundi water project (Mwanda Mghange WARD)
006/131/278/16-17,Construction Of Lushangonyi Ecde,2016-2017,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,1100000,"Foundation, flooring, walling, painting, finishes "
006/131/279/16-17,Construction Of Classroom At St Peter'S Ecde Ikuminyi,2016-2017,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,1299800,Construction of classroom at st Peter's ECDE IKUMINYI
006/131/28/23-24,Saraa-Ikonde-Kapanga Rehabilitation,2023-2024,Centgold Enterprises,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1996546,"Grading , shaping, slabbing, culvert installation, bush clearing, climate change mitigation measure and cross cutting issues "
006/131/280/16-17,Rehabilitation Of Mwanda Market,2016-2017,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,2000000,Rehabilitation of Mwanda market
006/131/281/16-17,Rehabilitation Of Mghange Dawida Market,2016-2017,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,2000000,Rehabilitation of Mghange Dawida market
006/131/282/16-17,Construction Of Saraa Water Project,2016-2017,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,1156964,Construction of saraa water project
006/131/283/16-17,Funju Water Project  (Mwanda Mghange Ward)-Wdf(Rebudgeted),2016-2017,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,934900,Funju water project  (Mwanda Mghange WARD)-WDF(Rebudgeted)
006/131/284/16-17,Refurbishment Of Mghange Dawida Youth Polytechnic(Mwanda Mghange Ward)-Hair Dressing,2016-2017,n/a,0,"Education, Libraries and VTCs",,1500000,Refurbishment of Mghange Dawida Youth Polytechnic(MWANDA MGHANGE WARD)-Hair dressing
006/131/285/16-17,Mwalekeronyi Water Project (Mwanda Mghange Ward)-Wdf,2016-2017,n/a,0,"Education, Libraries and VTCs",,1479795,Rehabilitation of Mwalekeronyi water project
006/131/286/16-17,Monzo/Funju Water Project,2016-2017,n/a,0,"Education, Libraries and VTCs",,2000000,Construction of a 25 cubic meter tank
006/131/287/16-17,Mbanga Ngombe Water Project (Mwanda Mghange ,2016-2017,n/a,0,"Education, Libraries and VTCs",,1000000,Rehabilitation of Mbanga Ngombe water project
006/131/288/16-17,Ndile Marungu Water Project,2016-2017,n/a,0,"Trade, Tourism, Culture and Industrialization",,0,Ndile Marungu Water Project
006/131/289/16-17,Fittings For Tank Connection Choke To Lushangonyi ,2016-2017,n/a,0,"Trade, Tourism, Culture and Industrialization",,0,Fittings for tank connection Choke to lushangonyi 
006/131/29/23-24,Building Renovations And Installations Of  Dawida Macadamia Processing Plant (Agriculture),2023-2024,"Ansel Rald Agency
 Limited",0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,6850000,Building Renovations And Installations Of  Dawida Macadamia Processing Plant (Agriculture)
006/131/290/16-17,Purchase Of Uniforms For Ecde Centres,2016-2017,n/a,0,"Trade, Tourism, Culture and Industrialization",,0,Purchase of Uniforms For ECDE Centres
006/131/291/16-17,Upgrading Of Mghange Nyika Market,2016-2017,n/a,0,"Trade, Tourism, Culture and Industrialization",,0,Upgrading of Mghange Nyika Market
006/131/292/16-17,Rehabilitation Of Ict Mwanda Mghange Ward,2016-2017,n/a,0,"Youth, Sports, Gender and Social Services",,0,Rehabilitation of ICT mwanda mghange ward
006/131/293/16-17,"Purchase Of Bodaboda Reflector Jackets,Boots And Helmets",2016-2017,n/a,0,"Youth, Sports, Gender and Social Services",,0,"Purchase of bodaboda reflector jackets,boots and helmets"
006/131/294/16-17,Mwaroko Social Hall,2016-2017,n/a,0,"Youth, Sports, Gender and Social Services",,0,Mwaroko Social Hall
006/131/295/16-17,Construction Of Mghange Nyika Market,2016-2017,n/a,0,"Trade, Tourism, Culture and Industrialization",,0,CONSTRUCTION OF MGHANGE NYIKA MARKET
006/131/296/16-17,Rehabilitation Of Mgange Nyika Market,2016-2017,n/a,0,"Trade, Tourism, Culture and Industrialization",,0,REHABILITATION OF MGANGE NYIKA MARKET
006/131/297/16-17,Mwanda/Mghange Development Group,2016-2017,n/a,0,"Youth, Sports, Gender and Social Services",,0,MWANDA/MGHANGE DEVELOPMENT GROUP
006/131/298/16-17,Mwaroko Social Hall Chairs,2016-2017,n/a,0,"Youth, Sports, Gender and Social Services",,0,MWAROKO SOCIAL HALL CHAIRS
006/131/299/16-17,Rehabilitation Of Mghange -Mwanda  Roads),2016-2017,n/a,0,"Youth, Sports, Gender and Social Services",,0,Rehabilitation of Mghange -Mwanda  Roads)
006/131/30/23-24,Milk Handling Equipment Dawida Dairy Cooperatives,2023-2024,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,Milk Handling Equipment Dawida Dairy Cooperatives
006/131/300/16-17,"Construction, Repair And Murraming Of Mwanda Mghange Ward Roads",2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,"Construction, repair and murraming of Mwanda Mghange ward roads"
006/131/301/16-17,Drilling Of Kishushe Borehole,2016-2017,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,6622370,Pump and piping
006/131/302/16-17,One Product One Ward/Macadamia Seedlings & Tissue Culture Bananas,2016-2017,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,
006/131/303/16-17,Mogho - Mlamba Water Project ,2016-2017,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,0,
006/131/304/16-17,Kwa Hebron -Mwalachi - Tira - Mswadi Water Project,2016-2017,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,1160210,
006/131/305/16-17,Shigharo Water Project,2016-2017,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,0,
006/131/306/16-17,Mwabwalwa Water Project,2016-2017,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,0,
006/131/307/16-17,Shigharo - Mwachora Water Tank,2016-2017,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,0,
006/131/308/16-17,Water -Pj Mwangola High School,2016-2017,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,0,
006/131/309/16-17,Water At Mbale Youth Polytechnic,2016-2017,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,0,
006/131/31/23-24, Completion Of Kiloghwa Vtc Complex And Supply Of Furniture (Education) ,2023-2024,Mabunians Construction Company Limited,0,"Education, Libraries and VTCs",,3471068, Completion Of Kiloghwa VTC Complex And Supply Of Furniture (Education) 
006/131/310/16-17,Ngelenyi Water Supply,2016-2017,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,4126078.1,
006/131/311/16-17,Ngelenyi Dam,2016-2017,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,4388020.5,
006/131/312/16-17,Loghia Water Project,2016-2017,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,0,
006/131/313/16-17,3 Plastic Water Tanks,2016-2017,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,0,
006/131/314/16-17,Construction Of Wesu Ecd & Toilet,2016-2017,n/a,0,"Education, Libraries and VTCs",,0,
006/131/315/16-17,Purchase Of Ecde Furniture,2016-2017,n/a,0,"Education, Libraries and VTCs",,0,
006/131/316/16-17,3 Ecd Nguraru,2016-2017,n/a,0,"Education, Libraries and VTCs",,0,
006/131/317/16-17,Basket Ball Kits And Balls,2016-2017,n/a,0,"Youth, Sports, Gender and Social Services",,0,
006/131/318/16-17,Women Development Programme,2016-2017,n/a,0,"Youth, Sports, Gender and Social Services",,0,
006/131/319/16-17,Social /Bodaboda Reflectors/Safety Riding/First Aid Training ,2016-2017,n/a,0,"Youth, Sports, Gender and Social Services",,0,
006/131/32/23-24, Completion Of Mwanda Vtc Complex And Supply Of Furniture (Education)  ,2023-2024,Justempa Constructors Limited,0,"Education, Libraries and VTCs",,6806334.8, Completion Of Mwanda VTC Complex And Supply Of Furniture (Education)  
006/131/320/16-17,Mlechi Primary School Road,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/131/321/16-17,Mwongonyi-Sirienyi Road,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/131/322/16-17,Mwalusu - Kungu Road,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/131/323/16-17,Youth And Women Empowerment Project,2016-2017,n/a,0,"Youth, Sports, Gender and Social Services",,0,
006/131/324/16-17,Masumbesunyi- Mwakanyi Road,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/131/325/16-17,Two Concrete Roofs Tops At Sh 80000 Each Lembenyi & Moka,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/131/326/16-17,Proposed Earthworks At Wundanyi Market - Pending Bills,2016-2017,n/a,0,"Trade, Tourism, Culture and Industrialization",,0,
006/131/327/15-16,"Purchase Of Seedlings(Wundanyi/Mbale,Mghange/Mwanda And Ngolia Wards)",2015-2016,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,
006/131/327/16-17,Culverts For Wundanyi Mbale Roads,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/131/328/15-16,Slaughter House Mwanda,2015-2016,n/a,0,"Trade, Tourism, Culture and Industrialization",,720000,Slaughter house Mwanda
006/131/328/16-17,"Excavation, Murraming And Culverts",2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/131/329/15-16,"Mwaroko,Mwataru And Marungu Borehole Program",2015-2016,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,0,
006/131/329/16-17,Sirenyi - Kiruwuko - Mghondinyi Road,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/131/33/23-24, Completion Of Mwanda Vtc Complex And Supply Of Furniture (Education)  ,2023-2024,Justempa Constructors Limited,0,"Education, Libraries and VTCs",,0, Completion Of Mwanda VTC Complex And Supply Of Furniture (Education)  
006/131/330/15-16,Mwarekeronyi Water Project (Mwanda Mghange Ward)-Wdf(Rebudgeted),2015-2016,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,1479795,Rehabilitation of Mwalekeronyi water project(Construction of a 50 cubic meter tank)
006/131/331/15-16,Slaughter House Mwanda,2015-2016,n/a,0,"Trade, Tourism, Culture and Industrialization",,720000,Slaughter house Mwanda
006/131/334/15-16,Mbanga Ngombe Water Project (Mwanda Mghange Ward)-Wdf(Rebudgeted),2015-2016,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,1000000,Rehabilitation of Mbanga Ngombe water project (Construction of a 25 cubic meter tank)
006/131/335/15-16,Refurbishment Of Mghange Dawida Youth Polytechnic(Mwanda Mghange Ward)-Hair Dressing,2015-2016,n/a,0,"Education, Libraries and VTCs",,1500000,Refurbishment of Mghange Dawida Youth Polytechnic(MWANDA MGHANGE WARD)-Hair dressing
006/131/336/15-16,Funju Water Project  (Mwanda Mghange Ward)-Wdf(Rebudgeted),2015-2016,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,934900,Funju water project  (Mwanda Mghange WARD)-WDF(Rebudgeted)
