Project Number,Project Title,Financial Year,Contractor Name,Estimated Cost,Department,Approval/Contract Number,Amount Paid,Project Scope
006/132/212/17-18,Kimorigo Kilabuni Msengoni Road Upgrading,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Kimorigo Kilabuni Msengoni Road Upgrading
006/132/213/17-18,Eldoro Kitoghoto Ngutuni Road Murraming And Lineof 900Mm Culverts,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Eldoro Kitoghoto Ngutuni Road Murraming And Lineof 900Mm Culverts
006/132/214/17-18,Murraming Of Mrabani-Kambungu Road- Rmlf,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murraming Of Mrabani-Kambungu Road- Rmlf
006/132/215/17-18,Murraming Eldoro-Kitoghoto-Ngutini Road- Rmlf,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murraming Eldoro-Kitoghoto-Ngutini Road- Rmlf
006/132/216/17-18,Construction Of A Social Hall At Kiwalwa Village,2017-2018,n/a,0,"Youth, Sports, Gender and Social Services",,0,Construction Of A Social Hall At Kiwalwa Village
006/132/217/16-17,Chala Disp. Staff House,2016-2017,n/a,0,Health Services,,0,Construction Of Disp Staff House
006/132/218/16-17,Njukini Mkt Grading & Gravelling ,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Grading  & Gravelling Njukini Mkt
006/132/219/16-17,Chala Chini Ph 2,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Grading And Gravelling 
006/132/22/24-25,Purchase Of Tents And Chairs,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Purchase Of Tents And Chairs
006/132/220/16-17,Chala Chini Rd,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Grading And Gravelling 
006/132/221/16-17,Chala Secondary Rd,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Grading And Gravelling 
006/132/222/16-17,Bishop Njenga Rd,2016-2017,n/a,0,"Education, Libraries and VTCs",,0,Grading Of The Road
006/132/223/16-17,Njukini Shed  &Toilet,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Construction Of Shed Toilet
006/132/224/16-17,Rehabilitation Of Remus-Maroro Road,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murrumming Of The Road
006/132/225/16-17,Rehabilitation Harambee/Chakaleri Timbila Rd,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murrumming Of The Road
006/132/226/16-17,Kirimeri Nursery Perimeter Fence,2016-2017,n/a,0,"Education, Libraries and VTCs",,0,Ecde 
006/132/227/16-17,"Kimondia, Matutani And Kitivo/Ngwakwele Land Reclamation  For Growing Maize,Rice,Mangoes,Bananas.",2016-2017,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,Desilting Canals 
