Project Number,Project Title,Project Status,Financial Year,Contractor Name,Estimated Cost,Department,Implemented By,Partner,Expected Start Date,Expected End Date,Approval/Contract Number,Contract Period (Days),Technical Rating,Completion Level,Amount Paid,Total Percentage,Project Scope,Administrative Level,Project Location,Location Names,Latitude,Longitude,Funded By,Percentage of Funding,Partner,,Admin Level,Admin
006/130/171/20-21,Buguta Boda Boda Shed,Complete,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Construction Boda Boda Shed,Admin 3,,Kasigau,-3.6882,38.668,County Government,100,,,Admin 3,Kasigau
006/130/172/19-20,Kaloleni Footbridge,Complete,2019-2020,n/a,5000000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,5000000,100,Construction Of Metalic Footbridge,Admin 3,,Kaloleni,-3.3973,38.5647,County Government,100,,,Admin 3,Kaloleni
006/130/173/19-20,Kaloleni Feeder Road/Murram,Complete,2019-2020,Hatuna Chuki," 1,610,080.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0," 1,610,080.00 ",100,Murraming Of The Feeder Road,Admin 3,,Kaloleni,-3.3973,38.5648,County Government,100,,,Admin 3,Kaloleni
006/130/174/19-20,Bondeni Box Culvert,Complete,2019-2020,Hatuna Chuki," 1,962,636.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0," 1,962,636.00 ",100,Construction Of Box Culvert,Admin 3,,Kaloleni,-3.3914,38.5656,County Government,100,,,Admin 3,Kaloleni
006/130/175/19-20,Mwanyambo Special Unit,Complete,2019-2020,Stingal Building," 698,772.00 ","Education, Libraries and VTCs",County Government,,,,,0,,0," 698,772.00 ",100,Construction Of Modern  Special Unit Class,Admin 3,,Kaloleni,-3.3931,38.5887,County Government,100,,,Admin 3,Kaloleni
006/130/176/19-20,Ndovu Health Centre Outpatient Wing,Complete,2019-2020,n/a,0,Health Services,County Government,,,,,0,,0,0,100,Construction Of Outpatient Block,Admin 3,,Kaloleni,-3.3926,385844,County Government,100,,,Admin 3,Kaloleni
006/130/177/19-20,Kaloleni Feeder Road,Complete,2019-2020,Hatuna Chuki," 1,610,080.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0," 1,610,080.00 ",100,Light Grading And Patch Murruming,Admin 3,,Kaloleni,-3.398372,38.554147,County Government,100,,,Admin 3,Kaloleni
006/130/178/19-20,Kaloleni Social Hall,Complete,2019-2020,HATUNA CHUKI BREAKDOWN," 510,000.00 ","Youth, Sports, Gender and Social Services",County Government,,,,,0,,0," 510,000.00 ",100,Construction Of Modern Hall,Admin 3,,Kaloleni,-3.3979,38.57838,County Government,100,,,Admin 3,Kaloleni
006/130/179/19-20,Majengo Ecde Class+3Door Toilet,Complete,2019-2020,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of Class & 3 Door Toilet,Admin 3,,Kaloleni,-3.4079,38.5653,County Government,100,,,Admin 3,Kaloleni
006/130/18/24-25,Rumangao Dispensary Renovation,Complete,2024-2025,Lanix Holding Limited,1500000,Health Services,County Government,,,,774,0,,0,1500000,100,Renovation Of Rumangao Dispensary,Admin 3,,Sagala,-3.5251,38.5806,County Government,100,,,Admin 3,Sagala
006/130/180/19-20,Mnaoni Ecde Class,Complete,2019-2020,KIDAYA GENERAL CONTRACTORS," 624,760 ","Education, Libraries and VTCs",County Government,,,,,0,,0," 624,760 ",100,Construction Of Class,Admin 3,,Kaloleni,-3.42,38.557,County Government,100,,,Admin 3,Kaloleni
006/130/181/19-20,Kalambe Ecde Class+Toilet,Complete,2019-2020,Women of Galilee," 718,613.00 ","Education, Libraries and VTCs",County Government,,,,,0,,0," 718,613.00 ",100,Construction Of Class& Toilet,Admin 3,,Kaloleni,-3.4516,38.5321,County Government,100,,,Admin 3,Kaloleni
006/130/184/19-20,Ngelenge Feeder Road,Complete,2019-2020,Interglobe Holdings Limited," 1,899,993.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0," 1,899,993.00 ",100,Construction Of Ngelenge Feeder Road,Admin 3,,Sagala,-3.4778,38.5839,County Government,100,,,Admin 3,Sagala
006/130/185/19-20,Kanyanga Ecde,Complete,2019-2020,Kanyanga ECDE," 410,193.00 ","Education, Libraries and VTCs",County Government,,,,,0,,0," 410,193.00 ",100,Construction Of Kanyanga Ecde,Admin 3,,Sagala,-3.4848,38.5826,County Government,100,,,Admin 3,Sagala
006/130/186/19-20,Bamako Maternity Block,Complete,2019-2020,INTERGLOBE HOLDINGS LTD," 2,144,401.50 ",Health Services,County Government,,,,,0,,0," 2,144,401.50 ",100,Construction Of Bamako Maternity Block,Admin 3,,Sagala,-3.533,38.5513,County Government,100,,,Admin 3,Sagala
006/130/187/19-20,Renovation Of Ghazi Dispensary (Reroofing) And Renovation Of Staff Quarters,Complete,2019-2020,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Renovation Of Staff Houses & Dispensary,Admin 3,,Ngolia,-3.28927,38.446313,County Government,100,,,Admin 3,Ngolia
006/130/188/19-20,"Buguta  , Ajaya,  Sisenyi, Murraming Of Ward Roads",Complete,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Grading And Patch Murraming ,Admin 3,,Kasigau,-3.6895,38.6685,County Government,100,,,Admin 3,Kasigau
006/130/189/18-19,Bondeni Box Culvert,Complete,2018-2019,Hatuna Chuki," 1,962,636.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0," 1,962,636.00 ",100,Construction Of Box Culvert,Admin 3,,Kaloleni,-3.3914,38.5656,County Government,100,,,Admin 3,Kaloleni
006/130/19/24-25,Talio Nyika Vtc,Complete,2024-2025,Greenlance Ltd,1000000,"Education, Libraries and VTCs",County Government,,,,317,0,,0,1000000,100,Construction Of Talio Nyika Vtc,Admin 3,,Sagala,-3.5586,38.5734,County Government,100,,,Admin 3,Sagala
006/130/190/18-19,Mwanyambo Ecde,Complete,2018-2019,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of Modern Classes,Admin 3,,Kaloleni,-3.3931,38.5886,County Government,100,,,Admin 3,Kaloleni
006/130/191/18-19,Mwanyambo Special Unit,Complete,2018-2019,n/a,250000,"Education, Libraries and VTCs",County Government,,,,,0,,0,250000,100,Construction Of Modern  Special Unit Class,Admin 3,,Kaloleni,-3.3931,38.5887,County Government,100,,,Admin 3,Kaloleni
006/130/192/18-19,Ndovu Health Centre Outpatient Wing,Complete,2018-2019,n/a,3000000,Health Services,County Government,,,,,0,,0,3000000,100,Construction Of Outpatient Block,Admin 3,,Kaloleni,-3.3926,385844,County Government,100,,,Admin 3,Kaloleni
006/130/193/18-19,Old Mombasa Road Culvert &Maintainace,Complete,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Grading And Construction Of Box Culvert,Admin 3,,Kaloleni,-3.4087,38.5988,County Government,100,,,Admin 3,Kaloleni
006/130/194/18-19,Birikani Water Project&Tank,Complete,2018-2019,Shake Distributors Ltd," 2,454,820.20 ","Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0," 2,454,820.20 ",100,Construction Of Tank And Piping,Admin 3,,Kaloleni,-3.4102,38.5935,County Government,100,,,Admin 3,Kaloleni
006/130/195/18-19,Kaloleni Feeder Road,Complete,2018-2019,n/a,1500000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,1500000,100,Light Grading And Patch Murruming,Admin 3,,Kaloleni,-3.3953,38.5862,County Government,100,,,Admin 3,Kaloleni
006/130/196/18-19,Kalela Ecde Classes,Complete,2018-2019,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of Modern Classes,Admin 3,,Kaloleni,-3.3979,38.5783,County Government,100,,,Admin 3,Kaloleni
006/130/197/18-19,Kaloleni Social Hall,Complete,2018-2019,Ibsey Construction Limited," 5,400,000.00 ","Youth, Sports, Gender and Social Services",County Government,,,,,0,,0," 5,400,000.00 ",100,Construction Of Modern Hall,Admin 3,,Kaloleni,-3.3979,38.57838,County Government,100,,,Admin 3,Kaloleni
006/130/198/18-19,Majengo Ecde Class+3Door Toilet,Complete,2018-2019,n/a,1700000,"Education, Libraries and VTCs",County Government,,,,,0,,0,1700000,100,Construction Of Class & 3 Door Toilet,Admin 3,,Kaloleni,-3.4079,38.5653,County Government,100,,,Admin 3,Kaloleni
006/130/199/18-19,Mnaoni Ecde Class,Complete,2018-2019,KIDAYA GENERAL CONTRACTORS," 624,760 ","Education, Libraries and VTCs",County Government,,,,,0,,0," 624,760 ",100,Construction Of Class,Admin 3,,Kaloleni,-3.42,38.557,County Government,100,,,Admin 3,Kaloleni
006/130/20/24-25,Wray Bore Hole,Complete,2024-2025,Gynett Company Limited,1484133,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,388,0,,0,1484133,100,Construction Of Wray Bore Hole,Admin 3,,Sagala,-3.5107,38.5765,County Government,100,,,Admin 3,Sagala
006/130/200/18-19,Gimba Ecde Class+Kitchen,Complete,2018-2019,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of Class & Kitchen,Admin 3,,Kaloleni,-3.4425,38.5553,County Government,100,,,Admin 3,Kaloleni
006/130/201/18-19,Kalambe Ecde Class+Toilet,Complete,2018-2019,Women of Galilee," 718,613.00 ","Education, Libraries and VTCs",County Government,,,,,0,,0," 718,613.00 ",100,Construction Of Class& Toilet,Admin 3,,Kaloleni,-3.4516,38.532,County Government,100,,,Admin 3,Kaloleni
006/130/202/18-19,Kaloleni Water Project[Distribution Of Pipes],Complete,2018-2019,Matmarsh Kenya Limited," 17,700.00 ","Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0," 17,700.00 ",100,Acquisition Of Pipes& Planting,Admin 3,,Kaloleni,-3.4118,38.5795,County Government,100,,,Admin 3,Kaloleni
006/130/203/18-19,Ecd 1 Classroom Kalambe,Complete,2018-2019,JEWAMA GENERAL CONTRACTORS," 1,999,589.00 ","Education, Libraries and VTCs",County Government,,,,,0,,0," 1,999,589.00 ",100,,Admin 3,,Kaloleni,-3.4516,38.5321,County Government,100,,,Admin 3,Kaloleni
006/130/204/18-19,Completion Of Sluice And Purchase Of Equipment At Mlengwa Dispensary,Complete,2018-2019,n/a,300000,Health Services,County Government,,,,,0,,0,300000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/205/18-19,Rehabilitation Of Mama Kache Road Sofia,Complete,2018-2019,HATUNA CHUKI," 1,649,520.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0," 1,649,520.00 ",100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/206/18-19,Kaloleni Women  Pwd And Youth Empowerment Projects-Tournaments,Complete,2018-2019,n/a,3000000,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,3000000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/207/18-19,Completion Of 2Nd Phase Birikani Football Ground,Complete,2018-2019,n/a,1075000,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,1075000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/208/18-19,Purchase Of Sports Equipments And Accessories,Complete,2018-2019,Nairobi Sports Hse," 211,680 ","Youth, Sports, Gender and Social Services",County Government,,,,,0,,0," 211,680 ",100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/209/18-19,Talio Ecde,Complete,2018-2019,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of 2 Classrooms Talio Ecde,Admin 3,,Sagala,-3.5267,38.5805,County Government,100,,,Admin 3,Sagala
006/130/21/24-25,Construction Of Bamako Dispensary Phase 3,Ongoing,2024-2025,Bromsage Limited,1196633,Health Services,County Government,,,,754,0,,0,1196633,100,Construction Of Bamako Dispensary Phase 3,Admin 3,,Sagala,-3.533,38.5513,County Government,100,,,Admin 3,Sagala
006/130/211/18-19,Latta Dam Tree Fruit Nursery,Complete,2018-2019,n/a,1800000,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0,1800000,100,Fruit Tree Nursery Establishment And Operation,Admin 3,,Sagala,-3.5013,38.5734,County Government,100,,,Admin 3,Sagala
006/130/212/18-19,Ngelenge Feeder Road,Complete,2018-2019,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Construction Of Ngelenge Feeder Road,Admin 3,,Sagala,-3.4778,38.5839,County Government,100,,,Admin 3,Sagala
006/130/213/18-19,Kanyanga Ecde,Complete,2018-2019,JOPETRAD EA LTD," 6,135 ","Education, Libraries and VTCs",County Government,,,,,0,,0," 6,135 ",100,Construction Of Kanyanga Ecde,Admin 3,,Sagala,-3.4848,38.5826,County Government,100,,,Admin 3,Sagala
006/130/214/18-19,Bamako Maternity Block,Complete,2018-2019,n/a,0,Health Services,County Government,,,,,0,,0,0,100,Construction Of Bamako Maternity Block,Admin 3,,Sagala,-3.533,38.5513,County Government,100,,,Admin 3,Sagala
006/130/215/18-19,Kajire Stadium &Podium,Complete,2018-2019,Borbada Enterprise Limited," 3,194,294.55 ","Youth, Sports, Gender and Social Services",County Government,,,,,0,,0," 3,194,294.55 ",100,Construction Of Kajire Stadium & Podium,Admin 3,,Sagala,-3.5226,38.6124,County Government,100,,,Admin 3,Sagala
006/130/216/18-19,Kajire Ecde,Complete,2018-2019,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of Kajire Ecde,Admin 3,,Sagala,-3.5164,38.6109,County Government,100,,,Admin 3,Sagala
006/130/217/18-19,Mwambiti Podium,Complete,2018-2019,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,0,100,Construction Of Mwambiti Podium,Admin 3,,Sagala,-3.4995,38.6275,County Government,100,,,Admin 3,Sagala
006/130/218/18-19,Sagala Vtc Dormitory,Complete,2018-2019,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of Sagala Vtc Dormitory,Admin 3,,Sagala,-3.4856,38.5831,County Government,100,,,Admin 3,Sagala
006/130/219/18-19,Ndome Vtc Construction Of Twin Workshop Classrooms And 2 Door Toilet,Complete,2018-2019,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Completion Of Classrooms & 2 Door Toilet,Admin 3,,Ngolia,-3.302358,38.481545,County Government,100,,,Admin 3,Ngolia
006/130/22/24-25,Kajire Women Empowerment Center Phase 2,Complete,2024-2025,Mastee Building And Contractors Limited ,985652,"Youth, Sports, Gender and Social Services",County Government,,,,N/A,0,,0,985652,100,Construction Of Kajire Women Empowerment Center Phase 2,Admin 3,,Sagala,-3.5182,38.6103,County Government,100,,,Admin 3,Sagala
006/130/220/18-19,"Construction Of Ghazi Mlangonyi Social Hall And Purchase Of 10,000L Water Tank",Complete,2018-2019,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,0,100,Completion Of Social Hall & Tank Installation,Admin 3,,Ngolia,-3.287431,38.438303,County Government,100,,,Admin 3,Ngolia
006/130/221/18-19,Construction Of 2 Door Pit Latrine At Ghazi Mlangonyi Social Hall,Complete,2018-2019,NZAJAWA INVESTMENTS," 700,000.00 ","Youth, Sports, Gender and Social Services",County Government,,,,,0,,0," 700,000.00 ",100,Completion Of 2 Door Toilet,Admin 3,,Ngolia,0,38.440119,County Government,100,,,Admin 3,Ngolia
006/130/222/18-19,Construction Of Mbulia Social Hall,Complete,2018-2019,Donnex Enterprises Ltd," 975,970.05 ","Youth, Sports, Gender and Social Services",County Government,,,,,0,,0," 975,970.05 ",100,Completion Of Social Hall ,Admin 3,,Ngolia,-3.254199,38.440119,County Government,100,,,Admin 3,Ngolia
006/130/223/18-19,"Construction Of 2 Door Pit Latrine At Mbulia Social Hall And 1,000L Water Tank",Ongoing,2018-2019,ZAHAKA ENTERPRISES," 699,999.00 ","Youth, Sports, Gender and Social Services",County Government,,,,,0,,0," 699,999.00 ",100,Completion Of 2 Door Toilet,Admin 3,,Ngolia,-3.254199,38.440119,County Government,100,,,Admin 3,Ngolia
006/130/224/18-19,"Construction Of Ndome Social Hall And Purchase Of 10,000L Water Tank",Complete,2018-2019,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,0,100,Completion Of Social Hall & Tank Installation,Admin 3,,Ngolia,-3.302713,38.483038,County Government,100,,,Admin 3,Ngolia
006/130/225/18-19,"Construction Of Madera Dispensary, Solar Panels, 2 Door Latrines And Purchase Of Water Tank ",Complete,2018-2019,n/a,0,Health Services,County Government,,,,,0,,0,0,100,Completion Of Madera Dispensary - Salaita,Admin 3,,Ngolia,-3.268401,38.49275,County Government,100,,,Admin 3,Ngolia
006/130/226/18-19,"Purchase Of 10,000L Water Tank At Ndome Dispensary",Complete,2018-2019,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0,0,100,"Installation Of 10,000L Water Tank",Admin 3,,Ngolia,-3.302765,38.478101,County Government,100,,,Admin 3,Ngolia
006/130/227/18-19,Renovation Of Ndome Dispensary Staff House,Complete,2018-2019,n/a,0,Health Services,County Government,,,,,0,,0,0,100,Renovation Of Staff House,Admin 3,,Ngolia,-3.302765,38.478101,County Government,100,,,Admin 3,Ngolia
006/130/228/18-19,Makwasinyi Water Project (Pipeline Rehabilitation)  & Extension (Storage  Tank),Complete,2018-2019,Bromine Solutions,965678,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0,965678,100,Renovation Of The Tank Line Extension,Admin 3,,Kasigau,-3.8136,38.6708,County Government,100,,,Admin 3,Kasigau
006/130/229/18-19,Kasigau Slaughter House,Stalled,2018-2019,Alui Gen Services,4350232,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",County Government,,,,,0,,0,4350232,100,Construction Of Modern Slaughter House,Admin 3,,Kasigau,-3.7971,38.63112,County Government,100,,,Admin 3,Kasigau
006/130/23/24-25,Installation Of Power Transformer,Complete,2024-2025,Supply Of Transformer For Power In Manga Village,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Supply Of Transformer For Power In Manga Village,Admin 3,,Ngolia,-3.20206,38.49993,County Government,100,,,Admin 3,Ngolia
006/130/231/18-19,Buguta Matanginyi Road,Complete,2018-2019,Lanix Holding Ltd,400200,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,400200,100,Rehabilitation Of The Road,Admin 3,,Kasigau,-3.7088,38.6537,County Government,100,,,Admin 3,Kasigau
006/130/232/18-19,Kismenyi Borehole,Complete,2018-2019,Tomboro Enterprises Limited,494500,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0,494500,100,Drilling  Of Borehole,Admin 3,,Kasigau,-3.7319,38.65,County Government,100,,,Admin 3,Kasigau
006/130/233/18-19,Construction Of New Bands Makwasinyi,Complete,2018-2019,n/a,1000000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,1000000,100,Construction Of Tourist Banda,Admin 3,,Kasigau,-3.833,38.6815,County Government,100,,,Admin 3,Kasigau
006/130/234/18-19,Kiteghe Bands,Stalled,2018-2019,n/a,2200000,"Trade, Tourism, Culture and Industrialization",County Government,,,,,0,,0,2200000,100,Equipping Of Tourist Bands,Admin 3,,Kasigau,-3.7986,38.6562,County Government,100,,,Admin 3,Kasigau
006/130/235/18-19,Zungulukani Borehole,Complete,2018-2019,Bentiles Enterprises,1722119.4,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0,1722119.4,100,Equiping Of Zungulukani Borehole,Admin 3,,Kasigau,0,0,County Government,100,,,Admin 3,Kasigau
006/130/236/18-19,Bungule Makwasinyi,Complete,2018-2019,Capital Mvono Ventures,494500,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,494500,100,,Admin 3,,Kasigau,0,0,County Government,100,,,Admin 3,Kasigau
006/130/238/18-19,Boniface Maghanga Borehole,Complete,2018-2019,PEPTEC ENTERPRISES LTD," 1,800,000.00 ","Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0," 1,800,000.00 ",100,Drilling And Solarization Of The Borehole,Admin 3,,Mbololo,-3.359,38.4946,County Government,100,,,Admin 3,Mbololo
006/130/239/18-19,Kambito Ecde & Toilet,Complete,2018-2019,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of 1 Classroom And 2 Door Toilet,Admin 3,,Mbololo,-3.3479,38.5006,County Government,100,,,Admin 3,Mbololo
006/130/24/24-25,"Installation Of 10,000L Water Tank",Complete,2024-2025,"Purchase Of 10,000L Water Tank At Manga Ecde",0,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0,0,100,"Purchase Of 10,000L Water Tank At Manga Ecde",Admin 3,,Ngolia,0,0,County Government,100,,,Admin 3,Ngolia
006/130/240/18-19,Boniface Maghanga Ecde Equiping,Complete,2018-2019,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Acquisition Of Learning Materials,Admin 3,,Mbololo,-3.3657,38.4909,County Government,100,,,Admin 3,Mbololo
006/130/241/18-19,Kambito Water Pan Phase Ii Expansion,Complete,2018-2019,Kigzwel Company Limited," 1,984,037.50 ","Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0," 1,984,037.50 ",100,Drilling And Expansion Of The Water Pan,Admin 3,,Mbololo,-3.3415,38.5014,County Government,100,,,Admin 3,Mbololo
