Project Number,Project Title,Project Status,Financial Year,Contractor Name,Estimated Cost,Department,Implemented By,Partner,Expected Start Date,Expected End Date,Approval/Contract Number,Contract Period (Days),Technical Rating,Completion Level,Amount Paid,Total Percentage,Project Scope,Administrative Level,Project Location,Location Names,Latitude,Longitude,Funded By,Percentage of Funding,Partner,,Admin Level,Admin
006/130/161/20-21,Sagala  Vtc Twin Workshop,Complete,2020-2021,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of Vtc Twin Workshop,Admin 3,,Sagala,-3.4856,38.5831,County Government,100,,,Admin 3,Sagala
006/130/162/20-21,Kanyanga Ecde,Complete,2020-2021,JOPETRAD EAST AFRICA LTD," 349,706.00 ","Education, Libraries and VTCs",County Government,,,,,0,,0," 349,706.00 ",100,Construction Of Kanyanga Ecde,Admin 3,,Sagala,-3.4848,38.5826,County Government,100,,,Admin 3,Sagala
006/130/163/20-21,Bamako Maternity Block,Complete,2020-2021,INTERGLOBE HOLDINGS LTD," 2,144,401.50 ",Health Services,County Government,,,,,0,,0," 2,144,401.50 ",100,Construction Of Bamako Maternity Block,Admin 3,,Sagala,-3.533,38.5513,County Government,100,,,Admin 3,Sagala
006/130/164/20-21,Construction Of Manyani Ecde 2 Classrooms And Administration Block,Complete,2020-2021,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of 2 Classrooms & Administration Block,Admin 3,,Ngolia,-3.09351,38.486366,County Government,100,,,Admin 3,Ngolia
006/130/165/20-21,Equipping Of Ecdes With Furniture For Teachers And Students,Complete,2020-2021,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Supply Of Furniture For Ecde Teachers And Learners,Admin 3,,Ngolia,0,0,County Government,100,,,Admin 3,Ngolia
006/130/166/20-21,Purchase Of Plastic Chairs For Ghazi Social Hall,Complete,2020-2021,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,0,100,Supply Of Furniture For Social Hall,Admin 3,,Ngolia,-3.287431,38.438303,County Government,100,,,Admin 3,Ngolia
006/130/167/20-21,Maintenance Of Mwamranga - Mbembe - Wongonyi Road,Stalled,2020-2021,TATAWE INVESTMENT CO LIMITED," 2,780,000.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0," 2,780,000.00 ",100,Maintenance Of Feeder Road,Admin 3,,Ngolia,-3.312286,38.433111,County Government,100,,,Admin 3,Ngolia
006/130/168/20-21,Bungule -Kirongwe Road Culverting,Ongoing,2020-2021,Alric View Limited,2000000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,2000000,100,Rehabilitation Of The Road,Admin 3,,Kasigau,-3.8188,38.6904,County Government,100,,,Admin 3,Kasigau
006/130/169/20-21,Buguta Mwakwasinyi Road,Complete,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Rehabilitation Of The Road,Admin 3,,Kasigau,-3.6887,38.6969,County Government,100,,,Admin 3,Kasigau
006/130/17/24-25,Community Empowerment- Agriculture (Pwds),Complete,2024-2025,n/a,1500000,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,1500000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
